Location name,Amount spent (MXN)
Aguascalientes,8169
Baja California,46557
Baja California Sur,6272
Campeche,15227
Chiapas,27399
Chihuahua,31581
Coahuila de Zaragoza,24008
Colima,7918
Distrito Federal,119282
Durango,7412
Guanajuato,34352
Guerrero,15204
Hidalgo,11217
Jalisco,167035
Michoacán de Ocampo,32269
Morelos,27398
Nayarit,5126
Nuevo León,70395
Oaxaca,22987
Puebla,56968
Querétaro Arteaga,11787
Quintana Roo,56195
San Luis Potosi,18302
Sinaloa,15129
Sonora,29971
State of Mexico,45084
Tabasco,11174
Tamaulipas,61445
Tlaxcala,5750
Unknown,≤100
Veracruz,33726
Yucatán,35878
Zacatecas,7963
