Location name,Amount spent (PEN)
Amazonas Region,119
Ancash Region,509
Apurímac Region,153
Arequipa Region,590
Ayacucho Region,274
Cajamarca Region,479
Callao,178
Cusco Region,530
Huancavelica Region,≤100
Huánuco Region,268
Ica Region,420
Junín Region,526
La Libertad Region,691
Lambayeque Region,529
Lima Region,4717
Loreto Region,288
Madre de Dios Region,105
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,708
Puno Region,592
San Martín Region,442
Tacna Region,180
Tumbes Region,122
Ucayali Region,259
Unknown,≤100
