Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
103497027790225,Fonos,These ads ran without a disclaimer,398375,2
605677032786054,Nevada - Nơi làm đẹp cho phụ nữ hiện đại,These ads ran without a disclaimer,311452,1
280124715749325,Sự Thật Về Pháp Luân Công,Sự Thật Về Pháp Luân Công,310173,2
106591072161769,DEM 88 Store,These ads ran without a disclaimer,290478,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,229663,2
106368304474162,Beata Drzazga,These ads ran without a disclaimer,163678,1
654396084640049,IMM GROUP,IMM Group,102925,1
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,78829,2
207539926397097,Tuyển Giáo Viên Hà Nội,Tuyển Giáo Viên Hà Nội,48664,1
919479674872321,Báo Nghệ An,Báo Nghệ An,42966,1
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,40988,4
112611731763046,Bệnh Viện Đa Khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,31668,1
108715314693314,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,28853,1
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,24474,1
469201610080869,Binance,These ads ran without a disclaimer,23471,1
821430017924241,Sungrow,These ads ran without a disclaimer,23471,1
106256777922958,SEA Today News,These ads ran without a disclaimer,18511,2
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,16255,1
225706078170576,Đoàn TNCS Hồ Chí Minh xã Quảng Tiến,Đoàn TNCS Hồ Chí Minh xã Quảng Tiến,15382,1
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,2347,1
109916775214130,JY Vacation 926,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
114153644937422,rayrayshonuff,These ads ran without a disclaimer,≤100,1
109421908767166,Mc01-34,These ads ran without a disclaimer,≤100,1
257045211013828,San Antonio Spurs Pro,These ads ran without a disclaimer,≤100,1
102096062812204,Magic1420-02,These ads ran without a disclaimer,≤100,1
214325065430084,ADATA,These ads ran without a disclaimer,≤100,1
118522447837797,Awe10,These ads ran without a disclaimer,≤100,1
114496358258687,Wsp15,These ads ran without a disclaimer,≤100,1
113335077928390,Green China,These ads ran without a disclaimer,≤100,1
110784175284201,Sweet001,These ads ran without a disclaimer,≤100,1
108779378799807,Magic1420-04,These ads ran without a disclaimer,≤100,1
105186412515147,Wsp46,These ads ran without a disclaimer,≤100,1
104007349305582,Awe12,These ads ran without a disclaimer,≤100,1
113205835040643,Wsp35,These ads ran without a disclaimer,≤100,1
102271312631185,BadPage02,These ads ran without a disclaimer,≤100,1
115444524830093,Wsp17,These ads ran without a disclaimer,≤100,2
103292939192000,First day,These ads ran without a disclaimer,≤100,1
104250905947224,Awe26,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,2
111351088478835,My Diwise - Jumo,These ads ran without a disclaimer,≤100,1
