Location name,Amount spent (COP)
Amazonas,1240
Antioquia,8815241
Arauca,16962
Atlantico,701107
Bolivar,299551
Boyaca,89560
Caldas,375381
Caqueta,185762
Casanare,451026
Cauca,410279
Cesar,52909
Choco,16249
Cordoba,378190
Cundinamarca,1176538
Distrito Especial,4440564
Guainia,5378
Guaviare,23624
Huila,543733
La Guajira,25919
Magdalena,859687
Meta,762458
Narino,128499
Norte de Santander,993655
Putumayo,97639
Quindio,72581
Risaralda,1361711
San Andres y Providencia,4815
Santander,1437604
Sucre,508947
Tolima,438889
Unknown,165
Valle del Cauca,3401254
Vaupes,402
Vichada,998
