Location name,Amount spent (RON)
Alba County,355
Arad County,400
Argeș County,619
Bacău County,542
Bihor County,646
Bistrița-Năsăud County,522
Botoșani County,337
Brașov County,597
Brăila County,261
Bucharest,2595
Buzău County,351
Caraș-Severin County,206
Cluj County,869
Constanța County,807
Covasna County,185
Călărași County,213
Dolj County,642
Dâmbovița County,345
Galați County,424
Giurgiu County,147
Gorj County,404
Harghita County,309
Hunedoara County,442
Ialomița County,153
Iași County,1005
Ilfov County,513
Maramureș County,430
Mehedinți County,207
Mureș County,509
Neamț County,352
Olt County,233
Prahova County,754
Satu Mare County,338
Sibiu County,355
Suceava County,443
Sălaj County,211
Teleorman County,225
Timiș County,732
Tulcea County,144
Unknown,≤100
Vaslui County,211
Vrancea County,316
Vâlcea County,291
