Location name,Amount spent (MXN)
Aguascalientes,8295
Baja California,22325
Baja California Sur,4334
Campeche,13613
Chiapas,13820
Chihuahua,46374
Coahuila de Zaragoza,40645
Colima,11342
Distrito Federal,126467
Durango,5959
Guanajuato,57820
Guerrero,11432
Hidalgo,8939
Jalisco,122621
Michoacán de Ocampo,30533
Morelos,21271
Nayarit,4724
Nuevo León,66122
Oaxaca,12318
Puebla,22206
Querétaro Arteaga,22581
Quintana Roo,22580
San Luis Potosi,26421
Sinaloa,8823
Sonora,20718
State of Mexico,105149
Tabasco,8502
Tamaulipas,18807
Tlaxcala,4743
Unknown,≤100
Veracruz,27299
Yucatán,18793
Zacatecas,5129
