Location name,Amount spent (NZD)
Auckland Region,2008
Bay of Plenty Region,404
Canterbury,841
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,208
Manawatu-Wanganui,302
Marlborough Region,≤100
Nelson Province,119
Northland Region,231
Otago,349
Southland,134
Taranaki,164
Tasman District,≤100
Unknown,≤100
Waikato,1110
Wellington Region,592
West Coast,≤100
