Location name,Amount spent (ZAR)
Eastern Cape,1351
Free State,573
Gauteng,4319
KwaZulu-Natal,1743
Limpopo,364
Mpumalanga,396
North West,340
Northern Cape,216
Unknown,≤100
Western Cape,5270
