Location name,Amount spent (GTQ)
Alta Verapaz Department,694
Baja Verapaz Department,309
Chimaltenango Department,829
Chiquimula Department,477
El Progreso Department,257
Escuintla Department,1125
Guatemala Department,13268
Huehuetenango Department,1278
Izabal Department,830
Jalapa Department,353
Jutiapa Department,573
Petén Department,615
Quetzaltenango Department,1573
Quiché Department,891
Retalhuleu Department,523
Sacatepéquez Department,836
San Marcos Department,2972
Santa Rosa Department,419
Sololá Department,561
Suchitepéquez Department,858
Totonicapán Department,542
Unknown,≤100
Zacapa Department,342
