Location name,Amount spent (RON)
Alba County,522
Arad County,625
Argeș County,697
Bacău County,828
Bihor County,799
Bistrița-Năsăud County,401
Botoșani County,607
Brașov County,897
Brăila County,369
Bucharest,3530
Buzău County,514
Caraș-Severin County,310
Cluj County,1371
Constanța County,938
Covasna County,404
Călărași County,268
Dolj County,676
Dâmbovița County,677
Galați County,787
Giurgiu County,179
Gorj County,495
Harghita County,700
Hunedoara County,918
Ialomița County,207
Iași County,1532
Ilfov County,491
Maramureș County,688
Mehedinți County,275
Mureș County,905
Neamț County,735
Olt County,333
Prahova County,920
Satu Mare County,471
Sibiu County,689
Suceava County,701
Sălaj County,322
Teleorman County,297
Timiș County,1223
Tulcea County,273
Unknown,≤100
Vaslui County,417
Vrancea County,311
Vâlcea County,411
