Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
178362315106,European Parliament,European Parliament,5910,7
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,5666,22
1058116737612843,USR,Uniunea Salvați România,4377,4
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,2666,3
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,704,4
1549421062018459,Alexandru Petrescu,Partidul Social Democrat,568,2
106087515621317,Ora de Stiri,Ora de Stiri,484,1
207741001672,Speranta pentru Romania,Speranta pentru Romania,450,9
557284874779877,Mihai Coteț,Mihai Cotet,390,2
54779960819,United Nations,United Nations with Facebook Ad Credits,355,9
1504323906337545,Litere.net,litere.net,348,3
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,337,6
102601499822802,RMDSZ,RMDSZ,337,9
114319753592403,AFACERI.news,Horia-Marius Bogdan,331,7
321890494859228,Vlad Gheorghe,GHEORGHE VLAD-DAN,329,19
176989973158138,Guvernare.net,Guvernare.net,321,2
107236228539491,Ion Belu,Ion Belu,303,1
175293925828191,Kelemen Hunor,RMDSZ,278,6
163943696987223,Ziarul Puterea,Ziarul Puterea,276,20
1796777377209154,Regia Nationala a Padurilor - Romsilva,Regia Nationala a Padurilor - Romsilva,233,6
2546711162025064,Politice.net,politice.net,212,2
109556372802910,USR Dolj,USR Dolj,205,1
260365460647855,Mircea Geoana,Mircea Geoana,205,8
686190454826244,Declic,Declic,193,3
2212856535602171,George Simion,George Simion,179,1
112599703659958,Green News,ASOCIATIA GREEN ACADEMY,173,5
1408452646080627,Marius Screciu,SCRECIU MARIUS-VASILE,168,2
161168401169183,Lucian Costin,Branding Digital Strategy,167,1
111105537419564,Oana Murariu,Oana Murariu,165,3
100211372942318,România=GEȚIA,Mărgărit-Daniel Buzoi,157,2
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,141,14
939093039450192,PS News,PS News,140,4
100491781650498,Premierul Nostru,Premierul Nostru,115,1
