Location name,Amount spent (EUR)
Alsace,533
Aquitaine,1038
Auvergne,357
Basse-Normandie,381
Bourgogne,390
Bretagne,939
Centre,650
Champagne-Ardenne,375
Corse,117
Franche-Comté,245
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,536
Languedoc-Roussillon,977
Limousin,188
Lorraine,684
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,807
New Caledonia,≤100
Nord-Pas-de-Calais,1053
Pays de la Loire,897
Picardie,542
Poitou-Charentes,487
Provence-Alpes-Côte d'Azur,2119
Reunion Island,≤100
Rhône-Alpes,1835
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4187
