Location name,Amount spent (HUF)
Baranya County,58970
Borsod-Abaúj-Zemplén County,62362
Budapest,326500
Bács-Kiskun County,66665
Békés County,41529
Csongrád County,107478
Fejér County,55239
Győr-Moson-Sopron County,51775
Hajdú-Bihar County,75756
Heves County,49722
Jász-Nagykun-Szolnok County,144425
Komárom-Esztergom County,35176
Nógrád County,20859
Pest County,132417
Somogy County,33617
Szabolcs-Szatmár-Bereg County,56876
Tolna County,30681
Vas County,33138
Veszprém County,39116
Zala County,35488
