Location name,Amount spent (USD)
Alabama,8865
Alaska,2059
Arizona,23207
Arkansas,5817
California,99980
Colorado,14547
Connecticut,7913
Delaware,2274
Florida,55226
Georgia,20431
Guam,107
Hawaii,4074
Idaho,4866
Illinois,31040
Indiana,17484
Iowa,9930
Kansas,7077
Kentucky,10646
Louisiana,14686
Maine,6520
Maryland,22581
Massachusetts,18011
Michigan,29577
Minnesota,12093
Mississippi,6412
Missouri,15553
Montana,2937
Nebraska,3684
Nevada,5932
New Hampshire,3321
New Jersey,26303
New Mexico,6244
New York,56781
North Carolina,27326
North Dakota,1872
Ohio,24317
Oklahoma,9799
Oregon,16313
Pennsylvania,33520
Puerto Rico,≤100
Rhode Island,2210
South Carolina,9029
South Dakota,1646
Tennessee,15624
Texas,77669
Unknown,≤100
Utah,6989
Vermont,2177
Virgin Islands (U.S.),≤100
Virginia,38393
Washington,25756
"Washington, District of Columbia",17316
West Virginia,5468
Wisconsin,16801
Wyoming,1201
