Location name,Amount spent (CZK)
Central Bohemian Region,64305
Hradec Králové Region,28590
Karlovy Vary Region,15589
Liberec Region,23308
Moravian-Silesian Region,63107
Olomouc Region,32771
Pardubice Region,26548
Plzeň Region,30919
Prague,100137
South Bohemian Region,31772
South Moravian Region,68661
Unknown,≤100
Vysočina Region,25439
Zlín Region,29078
Ústí nad Labem Region,47460
