Location name,Amount spent (CAD)
Alberta,4153
British Columbia,5364
Manitoba,1670
New Brunswick,662
Newfoundland and Labrador,234
Northwest Territories,≤100
Nova Scotia,935
Nunavut,≤100
Ontario,9394
Prince Edward Island,≤100
Quebec,5029
Saskatchewan,820
Unknown,≤100
Yukon,103
