Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,320
Cerro Largo Department,≤100
Colonia Department,583
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,113
Montevideo Department,6618
Paysandú Department,4323
Rivera Department,409
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,230
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
