Location name,Amount spent (ZAR)
Eastern Cape,977
Free State,697
Gauteng,4565
KwaZulu-Natal,1683
Limpopo,475
Mpumalanga,567
North West,674
Northern Cape,323
Unknown,≤100
Western Cape,6217
