Location name,Amount spent (CLP)
Antofagasta Region,80952
Araucanía Region,89421
Arica y Parinacota Region,32789
Atacama Region,29655
Aysén Region,17054
Bío Bío Region,271926
Coquimbo Region,147470
Los Lagos Region,68564
Los Ríos Region,32982
Magallanes y la Antártica Chilena Region,17332
Maule Region,85026
O'Higgins Region,129411
Santiago Metropolitan Region,626186
Tarapacá Region,37473
Unknown,108
Valparaíso Region,166052
