Location name,Amount spent (AUD)
Australian Capital Territory,2362
Jervis Bay Territory,≤100
New South Wales,23224
Norfolk Island,≤100
Northern Territory,770
Queensland,16810
South Australia,7674
Tasmania,1804
Unknown,≤100
Victoria,22051
Western Australia,8301
