Location name,Amount spent (IDR)
Aceh,3058740
Bali,2099265
Bangka–Belitung Islands,663938
Banten,5817475
Bengkulu,1159529
Central Java,28801373
Central Kalimantan,904446
Central Sulawesi,1415898
East Java,17002256
East Kalimantan,6170338
East Nusa Tenggara,2329008
Gorontalo,1212085
Jakarta,15914856
Jambi,1671620
Lampung,10784234
Maluku,1662345
North Kalimantan,525743
North Maluku,637502
North Sulawesi,6737058
North Sumatra,12327295
Papua (province),837092
Riau,7017362
Riau Islands Province,1367944
South Kalimantan,1141228
South Sulawesi,10203904
South Sumatra,10593166
Southeast Sulawesi,1262725
Special Region of Yogyakarta,3622600
Unknown,7580
West Java,20872044
West Kalimantan,5546771
West Nusa Tenggara,1401640
West Papua,590845
West Sulawesi,692703
West Sumatra,2798723
