Location name,Amount spent (USD)
Azuay Province,568
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,219
Cotopaxi Province,125
El Oro Province,452
Esmeraldas Province,318
Galápagos Province,≤100
Guayas Province,1638
Imbabura Province,203
Loja Province,380
Los Ríos Province,479
Manabí Province,782
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1194
Santa Elena Province,129
Santo Domingo de los Tsáchilas Province,999
Sucumbíos Province,≤100
Tungurahua Province,376
Unknown,≤100
Zamora-Chinchipe Province,171
