Location name,Amount spent (PKR)
Azad Kashmir,1521
Balochistan,818
Federally Administered Tribal Areas,193
Gilgit-Baltistan,487
Islamabad Capital Territory,7908
Khyber Pakhtunkhwa,4956
Punjab,22767
Sindh,7767
Unknown,≤100
