Location name,Amount spent (UYU)
Artigas Department,714
Canelones Department,1106
Cerro Largo Department,290
Colonia Department,433
Durazno Department,148
Flores Department,≤100
Florida Department,135
Lavalleja Department,161
Maldonado Department,714
Montevideo Department,5165
Paysandú Department,6164
Rivera Department,628
Rocha Department,184
Río Negro Department,157
Salto Department,457
San José Department,185
Soriano Department,233
Tacuarembó Department,269
Treinta y Tres Department,171
Unknown,≤100
