Location name,Amount spent (TWD)
Changhua,4981
Chiayi,1141
Hsinchu,2192
Hsinchu City,4450
Hualien,1704
Kaohsiung,16311
Keelung City,1840
Kinmen,317
Lienchiang,≤100
Miaoli,2313
Nantou,7104
New Taipei City,26295
Penghu,579
Pingtung,3211
Taichung,19404
Tainan,10214
Taipei,22481
Taitung,1066
Taoyuan City,15860
Unknown,2252
Yilan,1769
Yunlin,3258
