Location name,Amount spent (PYG)
Alto Paraguay Department,27476
Alto Paraná Department,1427916
Amambay Department,192740
Asunción,1668758
Boquerón department,105243
Caaguazú Department,444373
Caazapá Department,126788
Canindeyú Department,80703
Central Department,8823897
Concepción Department (Paraguay),113106
Cordillera Department,270551
Guairá Department,116662
Itapúa Department,616083
Misiones Department,74033
Paraguarí Department,121255
Presidente Hayes Department,168889
San Pedro Department,274478
Unknown,235
Ñeembucú Department,48013
