Location name,Amount spent (NZD)
Auckland Region,6712
Bay of Plenty Region,1137
Canterbury,2496
Cook Islands,≤100
Gisborne District,134
Hawke's Bay,1101
Manawatu-Wanganui,1088
Marlborough Region,116
Nelson Province,300
Northland Region,555
Otago,680
Southland,329
Taranaki,566
Tasman District,154
Unknown,≤100
Waikato,2210
Wellington Region,1845
West Coast,≤100
