Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,1002,1
1408811202692347,Child Online Africa,These ads ran without a disclaimer,700,1
106282688304118,Discover Daxing,These ads ran without a disclaimer,≤100,1
114208138207880,lesetatsunisdesafro,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
156788224389897,University of Toronto Scarborough (UTSC),These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,1
106614631788380,Kitco Mining,These ads ran without a disclaimer,≤100,3
136515966360349,BBTV,These ads ran without a disclaimer,≤100,1
