Location name,Amount spent (HTG)
Artibonite Department,953
Centre Department,307
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,454
Nord-Est Department,307
Nord-Ouest Department,307
Ouest Department,3790
Sud Department,307
Sud-Est Department,147
