Location name,Amount spent (HUF)
Baranya County,93435
Borsod-Abaúj-Zemplén County,129652
Budapest,657612
Bács-Kiskun County,98620
Békés County,65176
Csongrád County,143313
Fejér County,109082
Győr-Moson-Sopron County,108168
Hajdú-Bihar County,105758
Heves County,68177
Jász-Nagykun-Szolnok County,80316
Komárom-Esztergom County,70511
Nógrád County,35806
Pest County,230024
Somogy County,67622
Szabolcs-Szatmár-Bereg County,91713
Tolna County,46778
Unknown,125
Vas County,55892
Veszprém County,74061
Zala County,72254
