Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,438
Bangkok,6915
Bueng Kan,≤100
Buriram,177
Chachoengsao,126
Chai Nat,≤100
Chaiyaphum,128
Chanthaburi,≤100
Chiang Mai,499
Chiang Rai,189
Chon Buri,334
Chumphon,186
Kalasin,106
Kamphaeng Phet,≤100
Kanchanaburi,312
Khon Kaen,326
Krabi,192
Lampang,150
Lamphun,127
Loei,≤100
Lop Buri,≤100
Mae Hong Son,≤100
Maha Sarakham,130
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,168
Nakhon Phanom,≤100
Nakhon Ratchasima,362
Nakhon Sawan,825
Nakhon Si Thammarat,1765
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,374
Pathum Thani,238
Pattani,≤100
Phangnga,164
Phatthalung,176
Phayao,≤100
Phetchabun,109
Phetchaburi,466
Phichit,155
Phitsanulok,1369
Phrae,≤100
Phuket,1899
Prachin Buri,≤100
Prachuap Khiri Khan,256
Ranong,≤100
Ratchaburi,155
Rayong,168
Roi Et,176
Sa Kaeo,≤100
Sakon Nakhon,146
Samut Prakan,245
Samut Sakhon,150
Samut Songkhram,≤100
Saraburi,109
Satun,≤100
Sing Buri,≤100
Sisaket,157
Songkhla,454
Sukhothai,≤100
Suphan Buri,197
Surat Thani,5140
Surin,158
Tak,110
Trang,178
Trat,≤100
Ubon Ratchathani,309
Udon Thani,196
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,101
Yasothon,150
