Location name,Amount spent (USD)
Azuay Province,262
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,175
Cotopaxi Province,162
El Oro Province,431
Esmeraldas Province,196
Galápagos Province,≤100
Guayas Province,1360
Imbabura Province,134
Loja Province,179
Los Ríos Province,376
Manabí Province,638
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,878
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,143
Sucumbíos Province,≤100
Tungurahua Province,216
Unknown,≤100
Zamora-Chinchipe Province,≤100
