Location name,Amount spent (MXN)
Aguascalientes,17086
Baja California,55896
Baja California Sur,12578
Campeche,19289
Chiapas,42347
Chihuahua,51282
Coahuila de Zaragoza,43933
Colima,14434
Distrito Federal,228944
Durango,17381
Guanajuato,81017
Guerrero,26045
Hidalgo,28276
Jalisco,156091
Michoacán de Ocampo,55101
Morelos,61650
Nayarit,12649
Nuevo León,308753
Oaxaca,33904
Puebla,94108
Querétaro Arteaga,46435
Quintana Roo,70161
San Luis Potosi,34739
Sinaloa,27272
Sonora,39493
State of Mexico,141693
Tabasco,19110
Tamaulipas,39585
Tlaxcala,11644
Unknown,≤100
Veracruz,82408
Yucatán,51686
Zacatecas,14673
