Location name,Amount spent (TRY)
Adana Province,6003
Adıyaman Province,≤100
Afyonkarahisar Province,221
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1685
Antalya Province,1855
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,612
Ağrı Province,≤100
Balıkesir Province,614
Bartın Province,≤100
Batman Province,106
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1244
Denizli Province,319
Diyarbakır Province,262
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,110
Eskişehir Province,290
Gaziantep Province,644
Giresun Province,144
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,903
Isparta Province,124
Istanbul Province,12110
Iğdır Province,≤100
Kahramanmaraş Province,372
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,454
Kilis Province,≤100
Kocaeli Province,575
Konya Province,639
Kütahya Province,141
Kırklareli Province,129
Kırıkkale Province,141
Kırşehir Province,≤100
Malatya Province,144
Manisa Province,399
Mardin Province,149
Mersin Province,1499
Muğla Province,515
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,207
Osmaniye Province,211
Rize Province,≤100
Sakarya Province,159
Samsun Province,838
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,110
Tekirdağ Province,245
Tokat Province,116
Trabzon Province,206
Tunceli Province,≤100
Unknown,≤100
Uşak Province,134
Van Province,128
Yalova Province,102
Yozgat Province,≤100
Zonguldak Province,1112
Çanakkale Province,317
Çankırı Province,≤100
Çorum Province,114
İzmir Province,1888
Şanlıurfa Province,377
Şırnak Province,≤100
