Location name,Amount spent (ZAR)
Eastern Cape,1725
Free State,726
Gauteng,7638
KwaZulu-Natal,2826
Limpopo,774
Mpumalanga,804
North West,584
Northern Cape,432
Unknown,≤100
Western Cape,7019
