Location name,Amount spent (MXN)
Aguascalientes,7647
Baja California,33160
Baja California Sur,6549
Campeche,19417
Chiapas,19423
Chihuahua,33722
Coahuila de Zaragoza,311503
Colima,17865
Distrito Federal,164271
Durango,17677
Guanajuato,32083
Guerrero,11877
Hidalgo,11873
Jalisco,132016
Michoacán de Ocampo,34241
Morelos,26047
Nayarit,11677
Nuevo León,95204
Oaxaca,17572
Puebla,32989
Querétaro Arteaga,20804
Quintana Roo,42816
San Luis Potosi,16858
Sinaloa,28025
Sonora,33920
State of Mexico,235098
Tabasco,8656
Tamaulipas,30641
Tlaxcala,6204
Unknown,1228
Veracruz,34290
Yucatán,23160
Zacatecas,5812
