Location name,Amount spent (CLP)
Antofagasta Region,179984
Araucanía Region,390879
Arica y Parinacota Region,112416
Atacama Region,73882
Aysén Region,46649
Bío Bío Region,844231
Coquimbo Region,575697
Los Lagos Region,299335
Los Ríos Region,170582
Magallanes y la Antártica Chilena Region,95756
Maule Region,532664
O'Higgins Region,872352
Santiago Metropolitan Region,2420456
Tarapacá Region,158500
Unknown,≤100
Valparaíso Region,1057895
