Location name,Amount spent (EGP)
Al Sharqia Governorate,7473
Alexandria Governorate,9667
Aswan Governorate,1380
Asyut Governorate,3013
Beheira Governorate,4681
Beni Suef Governorate,1995
Cairo Governorate,20123
Dakahlia Governorate,9621
Damietta Governorate,2664
Faiyum Governorate,2102
Gharbia Governorate,6057
Giza Governorate,5672
Ismailia Governorate,1886
Kafr el-Sheikh Governorate,3565
Luxor Governorate,907
Matrouh Governorate,422
Minya Governorate,3479
Monufia Governorate,4573
New Valley Governorate,348
North Sinai Governorate,660
Port Said Governorate,1562
Qalyubia Governorate,4918
Qena Governorate,2347
Red Sea Governorate,885
Sohag Governorate,3386
South Sinai Governorate,360
Suez Governorate,1185
Unknown,≤100
