Location name,Amount spent (IDR)
Aceh,2595655
Bali,2199951
Bangka–Belitung Islands,389662
Banten,2581539
Bengkulu,541230
Central Java,19745706
Central Kalimantan,741638
Central Sulawesi,1658937
East Java,19794811
East Kalimantan,2314845
East Nusa Tenggara,3584339
Gorontalo,1513544
Jakarta,17898650
Jambi,1567727
Lampung,3047353
Maluku,1426722
North Kalimantan,438003
North Maluku,361344
North Sulawesi,2454832
North Sumatra,4894888
Papua (province),672594
Riau,1479625
Riau Islands Province,732419
South Kalimantan,1923505
South Sulawesi,4926385
South Sumatra,3473563
Southeast Sulawesi,1611782
Special Region of Yogyakarta,3339004
Unknown,9559
West Java,14172472
West Kalimantan,2190525
West Nusa Tenggara,2903260
West Papua,366392
West Sulawesi,459654
West Sumatra,2018679
