Location name,Amount spent (UYU)
Artigas Department,210
Canelones Department,684
Cerro Largo Department,225
Colonia Department,352
Durazno Department,136
Flores Department,≤100
Florida Department,145
Lavalleja Department,133
Maldonado Department,1167
Montevideo Department,3246
Paysandú Department,277
Rivera Department,914
Rocha Department,157
Río Negro Department,132
Salto Department,434
San José Department,150
Soriano Department,149
Tacuarembó Department,189
Treinta y Tres Department,147
Unknown,≤100
