Location name,Amount spent (USD)
Alabama,8469
Alaska,2843
American Samoa,≤100
Arizona,26521
Arkansas,8322
California,81245
Colorado,13401
Connecticut,9757
Delaware,2024
Florida,57685
Georgia,24050
Guam,≤100
Hawaii,2856
Idaho,9103
Illinois,61344
Indiana,22292
Iowa,7119
Kansas,8897
Kentucky,10781
Louisiana,10696
Maine,5696
Maryland,17036
Massachusetts,12805
Michigan,44648
Minnesota,13732
Mississippi,5809
Missouri,12956
Montana,9322
Nebraska,4864
Nevada,9910
New Hampshire,3197
New Jersey,20927
New Mexico,5446
New York,62158
North Carolina,22425
North Dakota,1234
Northern Mariana Islands,≤100
Ohio,25813
Oklahoma,9223
Oregon,11905
Pennsylvania,47528
Puerto Rico,≤100
Rhode Island,1784
South Carolina,9891
South Dakota,1601
Tennessee,17705
Texas,61616
Unknown,≤100
Utah,9355
Vermont,1953
Virgin Islands (U.S.),≤100
Virginia,22161
Washington,17208
"Washington, District of Columbia",8042
West Virginia,4905
Wisconsin,27840
Wyoming,1539
