Location name,Amount spent (NZD)
Auckland Region,4044
Bay of Plenty Region,639
Canterbury,1434
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,290
Manawatu-Wanganui,575
Marlborough Region,≤100
Nelson Province,142
Northland Region,288
Otago,478
Southland,195
Taranaki,260
Tasman District,≤100
Unknown,≤100
Waikato,1006
Wellington Region,1152
West Coast,≤100
