Location name,Amount spent (GTQ)
Alta Verapaz Department,2759
Baja Verapaz Department,824
Chimaltenango Department,2955
Chiquimula Department,1166
El Progreso Department,1150
Escuintla Department,3826
Guatemala Department,43356
Huehuetenango Department,3668
Izabal Department,2334
Jalapa Department,1277
Jutiapa Department,2226
Petén Department,1485
Quetzaltenango Department,4800
Quiché Department,2246
Retalhuleu Department,1297
Sacatepéquez Department,3090
San Marcos Department,6892
Santa Rosa Department,1242
Sololá Department,1939
Suchitepéquez Department,2035
Totonicapán Department,1300
Unknown,≤100
Zacapa Department,841
