Location name,Amount spent (NZD)
Auckland Region,2900
Bay of Plenty Region,387
Canterbury,777
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,271
Manawatu-Wanganui,358
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,238
Otago,306
Southland,127
Taranaki,167
Tasman District,≤100
Unknown,≤100
Waikato,727
Wellington Region,570
West Coast,≤100
