Location name,Amount spent (USD)
Azuay Province,258
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,104
Cotopaxi Province,≤100
El Oro Province,204
Esmeraldas Province,134
Galápagos Province,≤100
Guayas Province,878
Imbabura Province,108
Loja Province,121
Los Ríos Province,199
Manabí Province,475
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,685
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,109
Sucumbíos Province,≤100
Tungurahua Province,147
Unknown,≤100
Zamora-Chinchipe Province,≤100
