Location name,Amount spent (HUF)
Baranya County,172917
Borsod-Abaúj-Zemplén County,246760
Budapest,1023935
Bács-Kiskun County,182298
Békés County,133569
Csongrád County,185211
Fejér County,161935
Győr-Moson-Sopron County,176250
Hajdú-Bihar County,217802
Heves County,162847
Jász-Nagykun-Szolnok County,168536
Komárom-Esztergom County,128203
Nógrád County,65577
Pest County,452526
Somogy County,109586
Szabolcs-Szatmár-Bereg County,186146
Tolna County,83867
Unknown,≤100
Vas County,95218
Veszprém County,127496
Zala County,97931
