Location name,Amount spent (MXN)
Aguascalientes,19756
Baja California,82340
Baja California Sur,19513
Campeche,36560
Chiapas,74211
Chihuahua,62923
Coahuila de Zaragoza,52086
Colima,23091
Distrito Federal,308849
Durango,20852
Guanajuato,119931
Guerrero,40677
Hidalgo,39005
Jalisco,187252
Michoacán de Ocampo,62576
Morelos,76271
Nayarit,23532
Nuevo León,341058
Oaxaca,68088
Puebla,131175
Querétaro Arteaga,52838
Quintana Roo,78200
San Luis Potosi,40864
Sinaloa,45205
Sonora,60691
State of Mexico,156851
Tabasco,36043
Tamaulipas,88408
Tlaxcala,18303
Unknown,≤100
Veracruz,98998
Yucatán,106966
Zacatecas,21266
