Location name,Amount spent (TRY)
Adana Province,2845
Adıyaman Province,199
Afyonkarahisar Province,329
Aksaray Province,661
Amasya Province,210
Ankara Province,4216
Antalya Province,2226
Ardahan Province,≤100
Artvin Province,112
Aydın Province,724
Ağrı Province,110
Balıkesir Province,1851
Bartın Province,≤100
Batman Province,216
Bayburt Province,≤100
Bilecik Province,102
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,169
Burdur Province,124
Bursa Province,2163
Denizli Province,720
Diyarbakır Province,461
Düzce Province,177
Edirne Province,253
Elazığ Province,187
Erzincan Province,≤100
Erzurum Province,353
Eskişehir Province,547
Gaziantep Province,1050
Giresun Province,308
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,2158
Isparta Province,225
Istanbul Province,16886
Iğdır Province,≤100
Kahramanmaraş Province,563
Karabük Province,123
Karaman Province,138
Kars Province,≤100
Kastamonu Province,172
Kayseri Province,796
Kilis Province,≤100
Kocaeli Province,826
Konya Province,1312
Kütahya Province,248
Kırklareli Province,200
Kırıkkale Province,151
Kırşehir Province,116
Malatya Province,292
Manisa Province,860
Mardin Province,263
Mersin Province,1368
Muğla Province,1234
Muş Province,≤100
Nevşehir Province,129
Niğde Province,164
Ordu Province,506
Osmaniye Province,270
Rize Province,185
Sakarya Province,338
Samsun Province,1255
Siirt Province,≤100
Sinop Province,108
Sivas Province,226
Tekirdağ Province,542
Tokat Province,403
Trabzon Province,426
Tunceli Province,≤100
Unknown,≤100
Uşak Province,221
Van Province,271
Yalova Province,147
Yozgat Province,156
Zonguldak Province,2797
Çanakkale Province,496
Çankırı Province,≤100
Çorum Province,240
İzmir Province,2887
Şanlıurfa Province,613
Şırnak Province,158
