Location name,Amount spent (UYU)
Artigas Department,385
Canelones Department,1371
Cerro Largo Department,469
Colonia Department,685
Durazno Department,245
Flores Department,149
Florida Department,318
Lavalleja Department,352
Maldonado Department,660
Montevideo Department,5556
Paysandú Department,686
Rivera Department,624
Rocha Department,286
Río Negro Department,283
Salto Department,756
San José Department,329
Soriano Department,374
Tacuarembó Department,404
Treinta y Tres Department,921
Unknown,325
