Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,12235,9
301774903545521,Brasil Paralelo,Brasil Paralelo,10763,177
198849783539777,Buscofem,Buscofem,5938,8
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,5404,95
159103797542,Greenpeace Brasil,Greenpeace Brasil,4923,169
118558464851986,ACTbr,ACTbr,3501,9
157912844276400,Governo da Bahia,Governo da Bahia,3364,59
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,3013,12
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,2843,48
118699537906394,New Everydays,These ads ran without a disclaimer,2802,34
333720355130,Petrobras,Petrobras,2657,8
101189854802059,Revista Oeste,Revista Oeste,2506,59
102773638649611,Bruno Pereira,These ads ran without a disclaimer,2500,16
239665829565195,Cidade de São Paulo,Prefeitura da Cidade de São Paulo,2455,7
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,2327,11
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral (TSE),2252,7
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,1832,2
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1765,75
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,1658,3
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,1585,9
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",1503,13
330379553673497,Oxfam Brasil,Oxfam Brasil,1400,88
110190561574954,Inst. Conhecimento Liberta,Instituto Conhecimento Liberta,1396,74
105527742878890,Prefeitura do Recife,Prefeitura do Recife,1324,4
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,1312,24
465235726843103,Ambev,Ambev,1159,2
196638160529871,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,1053,18
141627992572943,Budweiser,Ambev,991,3
250305668489402,Professor Kenny,These ads ran without a disclaimer,933,7
234606016649878,EcoRodovias,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A,899,6
835946223123849,Grupo CCR,These ads ran without a disclaimer,891,1
394623300572500,Febraban Tech,Febraban Tech,820,6
255804437808407,Vale,Vale,818,2
1389429587984302,Renato Antunes,Renato Antunes,775,16
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,740,13
1619570641615465,Fernando Marangoni,Fernando Marangoni,673,17
286861344662855,Stella Artois,Ambev,671,3
135611223190336,ClimaInfo,Instituto ClimaInfo,658,15
263563620333111,Eduardo Braga,Carlos Braga,647,6
109770755848061,Suzano,Suzano SA,607,5
143803862450980,Célio Studart,Célio Studart Barbosa,607,4
650190518395498,Fabio Garcia,FÁBIO PAULINO GARCIA,578,24
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,573,39
113165042099382,Brasil 61,Brasil 61,569,2
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,568,78
