Location name,Amount spent (THB)
Amnat Charoen,982
Ang Thong,1303
Ayutthaya,6260
Bangkok,181948
Bueng Kan,813
Buriram,5021
Chachoengsao,3966
Chai Nat,1219
Chaiyaphum,2883
Chanthaburi,5566
Chiang Mai,9502
Chiang Rai,3389
Chon Buri,22904
Chumphon,2443
Kalasin,2600
Kamphaeng Phet,2888
Kanchanaburi,12931
Khon Kaen,11386
Krabi,4576
Lampang,2841
Lamphun,2360
Loei,2208
Lop Buri,3557
Mae Hong Son,920
Maha Sarakham,3222
Mukdahan,790
Nakhon Nayok,692
Nakhon Pathom,8461
Nakhon Phanom,1892
Nakhon Ratchasima,14481
Nakhon Sawan,4159
Nakhon Si Thammarat,10552
Nan,1084
Narathiwat,1428
Nong Bua Lam Phu,1295
Nong Khai,1145
Nonthaburi,9674
Pathum Thani,13075
Pattani,2327
Phangnga,1151
Phatthalung,3382
Phayao,1907
Phetchabun,2427
Phetchaburi,2295
Phichit,2561
Phitsanulok,11029
Phrae,1094
Phuket,16594
Prachin Buri,2009
Prachuap Khiri Khan,2312
Ranong,605
Ratchaburi,6093
Rayong,6831
Roi Et,3777
Sa Kaeo,2682
Sakon Nakhon,3043
Samut Prakan,8926
Samut Sakhon,6533
Samut Songkhram,5524
Saraburi,4791
Satun,1044
Sing Buri,965
Sisaket,3072
Songkhla,21046
Sukhothai,2233
Suphan Buri,3454
Surat Thani,29344
Surin,4181
Tak,2073
Trang,9049
Trat,2688
Ubon Ratchathani,5152
Udon Thani,3935
Unknown,≤100
Uthai Thani,1006
Uttaradit,1106
Yala Province,1648
Yasothon,2174
