Location name,Amount spent (PLN)
Greater Poland Voivodeship,3170
Kuyavian-Pomeranian Voivodeship,1645
Lesser Poland Voivodeship,2838
Lower Silesian Voivodeship,2254
Lublin Voivodeship,1727
Lubusz Voivodeship,707
Masovian Voivodeship,5900
Opole Voivodeship,636
Podkarpackie Voivodeship,1181
Podlaskie Voivodeship,871
Pomeranian Voivodeship,1909
Silesian Voivodeship,3444
Unknown,≤100
Warmian-Masurian Voivodeship,1016
West Pomeranian Voivodeship,1499
Łódź Voivodeship,2089
Świętokrzyskie Voivodeship,673
