Location name,Amount spent (TWD)
Changhua,8941
Chiayi,3035
Hsinchu,4996
Hsinchu City,7065
Hualien,3226
Kaohsiung,33457
Keelung City,3544
Kinmen,490
Lienchiang,≤100
Miaoli,4898
Nantou,3851
New Taipei City,46907
Penghu,702
Pingtung,5615
Taichung,34576
Tainan,19092
Taipei,33118
Taitung,1991
Taoyuan City,27186
Unknown,10587
Yilan,3181
Yunlin,5206
