Location name,Amount spent (SEK)
Blekinge County,2527
Dalarna County,4848
Gotland County,1210
Gävleborg County,4921
Halland County,5126
Jämtland County,2362
Jönköping County,5879
Kalmar County,3827
Kronoberg County,2844
Norrbotten County,5117
Skåne County,23557
Stockholm County,49446
Södermanland County,4967
Unknown,≤100
Uppsala County,8840
Värmland County,4424
Västerbotten County,4950
Västernorrland County,4493
Västmanland County,4717
Västra Götaland County,30811
Örebro County,5162
Östergötland County,8140
