Location name,Amount spent (IDR)
Aceh,1251382
Bali,10077434
Bangka–Belitung Islands,503038
Banten,7359782
Bengkulu,912201
Central Java,16514617
Central Kalimantan,1067173
Central Sulawesi,2084539
East Java,18694892
East Kalimantan,2479554
East Nusa Tenggara,2898837
Gorontalo,1374525
Jakarta,35692475
Jambi,1621892
Lampung,3260962
Maluku,926644
North Kalimantan,362108
North Maluku,689817
North Sulawesi,4641193
North Sumatra,7094453
Papua (province),904019
Riau,2958080
Riau Islands Province,1252949
South Kalimantan,1228744
South Sulawesi,7993836
South Sumatra,4091179
Southeast Sulawesi,1613950
Special Region of Yogyakarta,1719433
Unknown,10955
West Java,27003168
West Kalimantan,2393522
West Nusa Tenggara,2507429
West Papua,493261
West Sulawesi,643959
West Sumatra,2025432
