Location name,Amount spent (PLN)
Greater Poland Voivodeship,4377
Kuyavian-Pomeranian Voivodeship,2945
Lesser Poland Voivodeship,4299
Lower Silesian Voivodeship,3866
Lublin Voivodeship,1834
Lubusz Voivodeship,1099
Masovian Voivodeship,8846
Opole Voivodeship,823
Podkarpackie Voivodeship,1639
Podlaskie Voivodeship,1053
Pomeranian Voivodeship,2994
Silesian Voivodeship,4299
Unknown,≤100
Warmian-Masurian Voivodeship,1369
West Pomeranian Voivodeship,1905
Łódź Voivodeship,2724
Świętokrzyskie Voivodeship,1041
