Location name,Amount spent (VND)
An Giang Province,11594
Bà Rịa–Vũng Tàu Province,50834
Bình Dương Province,111656
Bình Phước Province,36121
Bình Thuận Province,17452
Bình Định Province,32913
Bạc Liêu Province,11907
Bắc Giang Province,72021
Bắc Kạn Province,14786
Bắc Ninh Province,77171
Bến Tre Province,22287
Cao Bằng Province,36816
Cà Mau Province,19495
Cần Thơ,40491
Da Nang,68420
Gia Lai Province,45676
Haiphong,452280
Ho Chi Minh City,1222420
Hà Giang Province,13495
Hà Nam Province,42564
Hà Tĩnh Province,66112
Hòa Bình Province,36045
Hưng Yên Province,196162
Hải Dương Province,90923
Hậu Giang Province,4797
Khánh Hòa Province,44826
Kiên Giang Province,44072
Kon Tum Province,10511
Lai Châu Province,2194
Long An Province,13186
Lào Cai Province,32387
Lâm Đồng Province,88555
Lạng Sơn Province,22019
Nam Định Province,68234
Nghệ An Province,84069
Ninh Bình Province,22311
Ninh Thuận Province,9812
Phú Thọ Province,68955
Phú Yên Province,33691
Quảng Bình Province,25140
Quảng Nam Province,45045
Quảng Ngãi Province,117447
Quảng Ninh Province,244974
Quảng Trị Province,17816
Sóc Trăng Province,14116
Sơn La Province,32827
Thanh Hóa Province,95930
Thái Bình Province,141833
Thái Nguyên Province,103981
Thừa Thiên–Huế Province,44242
Tiền Giang Province,27954
Trà Vinh Province,27352
Tuyên Quang Province,155593
Tây Ninh Province,130512
Vĩnh Long Province,7504
Vĩnh Phúc Province,86599
Yên Bái Province,46305
Điện Biên Province,33859
Đắk Lắk Province,62746
Đắk Nông Province,67391
Đồng Nai Province,131619
Đồng Tháp Province,17805
