Location name,Amount spent (UYU)
Artigas Department,135
Canelones Department,486
Cerro Largo Department,109
Colonia Department,195
Durazno Department,101
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,170
Montevideo Department,4822
Paysandú Department,157
Rivera Department,915
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,300
San José Department,665
Soriano Department,163
Tacuarembó Department,129
Treinta y Tres Department,≤100
Unknown,≤100
