Location name,Amount spent (EUR)
Alsace,521
Aquitaine,860
Auvergne,267
Basse-Normandie,321
Bourgogne,355
Bretagne,790
Centre,615
Champagne-Ardenne,278
Corse,≤100
Franche-Comté,216
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,794
Languedoc-Roussillon,797
Limousin,146
Lorraine,700
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,726
New Caledonia,≤100
Nord-Pas-de-Calais,876
Pays de la Loire,884
Picardie,411
Poitou-Charentes,387
Provence-Alpes-Côte d'Azur,1525
Reunion Island,≤100
Rhône-Alpes,1479
Saint-Martin,≤100
Unknown,≤100
Île-de-France,2857
