Location name,Amount spent (UYU)
Artigas Department,227
Canelones Department,775
Cerro Largo Department,299
Colonia Department,392
Durazno Department,155
Flores Department,≤100
Florida Department,165
Lavalleja Department,104
Maldonado Department,425
Montevideo Department,4096
Paysandú Department,247
Rivera Department,466
Rocha Department,194
Río Negro Department,138
Salto Department,468
San José Department,161
Soriano Department,162
Tacuarembó Department,235
Treinta y Tres Department,179
Unknown,≤100
