Location name,Amount spent (VEF)
Amazonas,381639
Anzoátegui,7178166
Apure,1905871
Aragua,7525274
Barinas,3777710
Bolívar (state),7190308
Capital District,16818799
Carabobo,24990324
Cojedes,1359191
Delta Amacuro,434141
Falcón,4288532
Guárico,3019289
Lara,12853744
Miranda (state),5415260
Monagas,2880922
Mérida,5227981
Nueva Esparta,3292646
Portuguesa,4416048
Sucre,2371782
Trujillo,3096847
Táchira,21966324
Unknown,≤100
Vargas,1575302
Yaracuy,3721872
Zulia,38735162
