Location name,Amount spent (PEN)
Amazonas Region,459
Ancash Region,132
Apurímac Region,≤100
Arequipa Region,137
Ayacucho Region,≤100
Cajamarca Region,1346
Callao,3138
Cusco Region,3479
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,117
La Libertad Region,197
Lambayeque Region,271
Lima Region,4314
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,866
Pasco Region,1119
Piura Region,8168
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
