Location name,Amount spent (PYG)
Alto Paraguay Department,438
Alto Paraná Department,185092
Amambay Department,14547
Asunción,103176
Boquerón department,16676
Caaguazú Department,181869
Caazapá Department,26346
Canindeyú Department,20026
Central Department,441980
Concepción Department (Paraguay),21470
Cordillera Department,40798
Guairá Department,24412
Itapúa Department,51602
Misiones Department,60430
Paraguarí Department,37254
Presidente Hayes Department,10258
San Pedro Department,40949
Unknown,2006
Ñeembucú Department,37186
