Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,52008,14
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,3366,1
154893001218870,ADHD samtökin,ADHD samtökin,2969,5
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1227,1
106430331983242,Ragnhildur Alda M. Vilhjálmsdóttir,Ragnhildur Alda Vilhjálmsdóttir,1131,1
106979180938014,Samstöðin,Samstöðin ehf,1014,2
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,967,3
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,934,1
509866436098947,Sabine Leskopf,Sabine Leskopf,802,1
100194566291833,The Andy Warthog,These ads ran without a disclaimer,≤100,1
116924765152540,Fawezi,These ads ran without a disclaimer,≤100,1
